RowId,YearStart,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Class,Topic,Question,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Break_Out_Category,Break_Out,ClassId,TopicId,QuestionId,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationId,GeoLocation
HCUP~2016~59~HC100~OVR01~AgeStdz,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",1085.9,1085.9,,,1065.5,1106.4,Overall,Overall,C1,T1,HC100,AgeStdz,BOC01,OVR01,59,
HCUP~2016~59~HC100~OVR01~Crude,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1252.4,1252.4,,,1230.7,1274.2,Overall,Overall,C1,T1,HC100,Crude,BOC01,OVR01,59,
HCUP~2016~59~HC100~AGE01~Crude,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",18.2,18.2,,,16.9,19.5,Age,18-24,C1,T1,HC100,Crude,BOC03,AGE01,59,
HCUP~2016~59~HC100~AGE04~Crude,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",173.9,173.9,,,169.2,178.6,Age,25-44,C1,T1,HC100,Crude,BOC03,AGE04,59,
HCUP~2016~59~HC100~AGE05~Crude,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1056.6,1056.6,,,1034.1,1079.1,Age,45-64,C1,T1,HC100,Crude,BOC03,AGE05,59,
HCUP~2016~59~HC100~AGE06~Crude,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",4225.4,4225.4,,,4153.0,4297.8,Age,65+,C1,T1,HC100,Crude,BOC03,AGE06,59,
HCUP~2016~59~HC100~AGE07~Crude,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1774.1,1774.1,,,1743.3,1805.0,Age,35+,C1,T1,HC100,Crude,BOC03,AGE07,59,
HCUP~2016~59~HC100~AGE08~Crude,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",6727.7,6727.7,,,6613.3,6842.1,Age,75+,C1,T1,HC100,Crude,BOC03,AGE08,59,
HCUP~2016~59~HC100~GEN01~AgeStdz,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",1221.9,1221.9,,,1197.6,1246.3,Gender,Male,C1,T1,HC100,AgeStdz,BOC02,GEN01,59,
HCUP~2016~59~HC100~GEN02~AgeStdz,2016,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",962.2,962.2,,,943.9,980.5,Gender,Female,C1,T1,HC100,AgeStdz,BOC02,GEN02,59,
HCUP~2017~59~HC100~OVR01~AgeStdz,2017,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Age-Standardized,"Rate per 100,000",1083.5,1083.5,,,1062.6,1104.5,Overall,Overall,C1,T1,HC100,AgeStdz,BOC01,OVR01,59,
HCUP~2017~59~HC100~OVR01~Crude,2017,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1266.6,1266.6,,,1243.9,1289.2,Overall,Overall,C1,T1,HC100,Crude,BOC01,OVR01,59,
HCUP~2017~59~HC100~AGE01~Crude,2017,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",16.5,16.5,,,15.3,17.8,Age,18-24,C1,T1,HC100,Crude,BOC03,AGE01,59,
HCUP~2017~59~HC100~AGE04~Crude,2017,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",162.9,162.9,,,158.4,167.5,Age,25-44,C1,T1,HC100,Crude,BOC03,AGE04,59,
HCUP~2017~59~HC100~AGE05~Crude,2017,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1062.6,1062.6,,,1039.4,1085.8,Age,45-64,C1,T1,HC100,Crude,BOC03,AGE05,59,
HCUP~2017~59~HC100~AGE06~Crude,2017,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",4228.3,4228.3,,,4153.6,4303.0,Age,65+,C1,T1,HC100,Crude,BOC03,AGE06,59,
HCUP~2017~59~HC100~AGE07~Crude,2017,US,United States,HCUP,Million Hearts,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Million Hearts Cardiovascular event rates among US adults (18+); HCUP/NVSS,Crude,"Rate per 100,000",1792.4,1792.4,,,1760.4,1824.5,Age,35+,C1,T1,HC100,Crude,BOC03,AGE07,59,
